GemeenteCode;GemeenteNaam;PartijNaam;AantalStemmen
106;Assen;Partij voor de Dieren;1546
106;Assen;Piratenpartij;76
106;Assen;SP (Socialistische Partij);3446
106;Assen;Splinter;151
106;Assen;Staatkundig Gereformeerde Partij (SGP);310
106;Assen;Trots op Nederland (TROTS);109
106;Assen;VVD;7842
106;Assen;Volt;709
109;Coevorden;50PLUS;229
109;Coevorden;BBB;736
109;Coevorden;BIJ1;30
109;Coevorden;Blanco (lijst 30);15
109;Coevorden;CDA;2915
109;Coevorden;CODE ORANJE;76
109;Coevorden;ChristenUnie;574
109;Coevorden;D66;2499
109;Coevorden;DENK;37
109;Coevorden;Forum voor Democratie;1244
109;Coevorden;GROENLINKS;625
109;Coevorden;JA21;543
109;Coevorden;JEZUS LEEFT;14
109;Coevorden;JONG;29
109;Coevorden;LP (Libertaire Partij);6
109;Coevorden;Lijst Henk Krol;26
109;Coevorden;Modern Nederland;2
109;Coevorden;NIDA;7
109;Coevorden;NLBeter;16
109;Coevorden;OPRECHT;11
109;Coevorden;PVV (Partij voor de Vrijheid);3103
109;Coevorden;Partij van de Arbeid (P.v.d.A.);1941
109;Coevorden;Partij voor de Dieren;611
109;Coevorden;Piratenpartij;26
109;Coevorden;SP (Socialistische Partij);1577
109;Coevorden;Splinter;52
109;Coevorden;Staatkundig Gereformeerde Partij (SGP);150
109;Coevorden;Trots op Nederland (TROTS);48
109;Coevorden;VVD;5087
109;Coevorden;Volt;246
114;Emmen;50PLUS;918
114;Emmen;BBB;971
114;Emmen;BIJ1;118
114;Emmen;Blanco (lijst 30);44
114;Emmen;CDA;7033
114;Emmen;CODE ORANJE;243
114;Emmen;ChristenUnie;1865
114;Emmen;D66;6371
114;Emmen;DENK;322
114;Emmen;Forum voor Democratie;4516
114;Emmen;GROENLINKS;1830
114;Emmen;JA21;1288
114;Emmen;JEZUS LEEFT;42
114;Emmen;JONG;105
114;Emmen;LP (Libertaire Partij);31
114;Emmen;Lijst Henk Krol;63
114;Emmen;Modern Nederland;7
114;Emmen;NIDA;42
114;Emmen;NLBeter;57
114;Emmen;OPRECHT;38
114;Emmen;PVV (Partij voor de Vrijheid);11938
114;Emmen;Partij van de Arbeid (P.v.d.A.);5750
114;Emmen;Partij voor de Dieren;1663
114;Emmen;Piratenpartij;99
